grouped,year,category,avgmedianPrice
South Asia,2023,vegetables and fruits,0.6366666666666667
South Asia,2024,cereals and tubers,0.5278571428571429
South Asia,2024,"meat, fish and eggs",2.41125
South Asia,2024,milk and dairy,1.10375
South Asia,2024,miscellaneous food,0.9583333333333334
South Asia,2024,non-food,1.7716666666666667
South Asia,2024,oil and fats,1.5741666666666667
South Asia,2024,pulses and nuts,1.4207142857142858
South Asia,2024,vegetables and fruits,0.6625
South Asia,2025,cereals and tubers,0.5083333333333334
South Asia,2025,"meat, fish and eggs",2.28125
South Asia,2025,milk and dairy,1.4024999999999999
South Asia,2025,miscellaneous food,1.054
South Asia,2025,non-food,1.7616666666666667
South Asia,2025,oil and fats,1.746
South Asia,2025,pulses and nuts,1.4516666666666669
South Asia,2025,vegetables and fruits,0.6012500000000001
Sub-Saharan Africa,2017,cereals and tubers,4.600975609756097
Sub-Saharan Africa,2017,"meat, fish and eggs",20.8696875
Sub-Saharan Africa,2017,milk and dairy,16.4025
Sub-Saharan Africa,2017,miscellaneous food,1.3422222222222222
Sub-Saharan Africa,2017,non-food,3.466333333333333
Sub-Saharan Africa,2017,oil and fats,3.9482
Sub-Saharan Africa,2017,pulses and nuts,3.1652000000000005
Sub-Saharan Africa,2017,vegetables and fruits,1.4873333333333332
Sub-Saharan Africa,2018,cereals and tubers,4.638375
Sub-Saharan Africa,2018,"meat, fish and eggs",25.541835
Sub-Saharan Africa,2018,milk and dairy,12.190714285714288
Sub-Saharan Africa,2018,miscellaneous food,1.3282619047619046
Sub-Saharan Africa,2018,non-food,4.3884518749999994
Sub-Saharan Africa,2018,oil and fats,3.7890384615384614
Sub-Saharan Africa,2018,pulses and nuts,8.740714285714287
Sub-Saharan Africa,2018,vegetables and fruits,1.652625
Sub-Saharan Africa,2019,cereals and tubers,3.8616315
Sub-Saharan Africa,2019,"meat, fish and eggs",30.291085
Sub-Saharan Africa,2019,milk and dairy,13.031428571428572
Sub-Saharan Africa,2019,miscellaneous food,1.1647605
Sub-Saharan Africa,2019,non-food,4.405895882352942
Sub-Saharan Africa,2019,oil and fats,4.3798076923076925
Sub-Saharan Africa,2019,pulses and nuts,2.6964285714285716
Sub-Saharan Africa,2019,vegetables and fruits,1.31125
Sub-Saharan Africa,2020,cereals and tubers,3.456892
Sub-Saharan Africa,2020,"meat, fish and eggs",24.282673999999997
Sub-Saharan Africa,2020,milk and dairy,7.358461538461539
Sub-Saharan Africa,2020,miscellaneous food,2.4124311111111116
Sub-Saharan Africa,2020,non-food,3.854794285714286
Sub-Saharan Africa,2020,oil and fats,3.57724
Sub-Saharan Africa,2020,pulses and nuts,5.382963636363637
Sub-Saharan Africa,2020,vegetables and fruits,1.2177826086956522
Sub-Saharan Africa,2021,cereals and tubers,3.123578947368421
Sub-Saharan Africa,2021,"meat, fish and eggs",13.164499999999999
Sub-Saharan Africa,2021,milk and dairy,6.55
Sub-Saharan Africa,2021,miscellaneous food,2.4921458333333333
Sub-Saharan Africa,2021,non-food,4.4221894736842104
Sub-Saharan Africa,2021,oil and fats,4.407607142857143
Sub-Saharan Africa,2021,pulses and nuts,6.26215
Sub-Saharan Africa,2021,vegetables and fruits,1.1442
Sub-Saharan Africa,2022,cereals and tubers,4.143971052631579
Sub-Saharan Africa,2022,"meat, fish and eggs",14.56326086956522
Sub-Saharan Africa,2022,milk and dairy,8.68409090909091
Sub-Saharan Africa,2022,miscellaneous food,2.8567708333333326
Sub-Saharan Africa,2022,non-food,5.470473684210526
Sub-Saharan Africa,2022,oil and fats,6.2672592592592595
Sub-Saharan Africa,2022,pulses and nuts,7.612741935483872
Sub-Saharan Africa,2022,vegetables and fruits,1.6342105263157896
Sub-Saharan Africa,2023,cereals and tubers,6.729114285714286
Sub-Saharan Africa,2023,"meat, fish and eggs",37.052708333333335
Sub-Saharan Africa,2023,milk and dairy,8.677083333333334
Sub-Saharan Africa,2023,miscellaneous food,3.0340800000000003
Sub-Saharan Africa,2023,non-food,6.165911764705882
Sub-Saharan Africa,2023,oil and fats,5.623035714285714
Sub-Saharan Africa,2023,pulses and nuts,12.695588235294117
Sub-Saharan Africa,2023,vegetables and fruits,3.9835000000000003
Sub-Saharan Africa,2024,cereals and tubers,6.605712121212122
Sub-Saharan Africa,2024,"meat, fish and eggs",38.6538125
Sub-Saharan Africa,2024,milk and dairy,7.8127272727272725
Sub-Saharan Africa,2024,miscellaneous food,2.72084
Sub-Saharan Africa,2024,non-food,6.3505625
Sub-Saharan Africa,2024,oil and fats,5.272962962962963
Sub-Saharan Africa,2024,pulses and nuts,10.41220921875
Sub-Saharan Africa,2024,vegetables and fruits,4.6345238095238095
Sub-Saharan Africa,2025,cereals and tubers,6.8757335714285714
Sub-Saharan Africa,2025,"meat, fish and eggs",33.95254545454545
Sub-Saharan Africa,2025,milk and dairy,8.033333333333333
Sub-Saharan Africa,2025,miscellaneous food,2.7084934782608694
Sub-Saharan Africa,2025,non-food,6.1125428571428575
Sub-Saharan Africa,2025,oil and fats,6.305258333333332
Sub-Saharan Africa,2025,pulses and nuts,10.79113925925926
Sub-Saharan Africa,2025,vegetables and fruits,4.216111111111111
