country,year,category,sumPrice,meanPrice
GIN,2018,pulses and nuts,147.11,0.9490967741935484
GIN,2018,vegetables and fruits,64.19,1.211132075471698
GMB,2018,cereals and tubers,464.14,0.7947602739726027
GMB,2018,"meat, fish and eggs",664.38,2.259795918367347
GMB,2018,milk and dairy,161.83,1.9038823529411768
GMB,2018,miscellaneous food,249.1,1.0645299145299143
GMB,2018,non-food,169.98,1.0364634146341465
GMB,2018,oil and fats,144.24,1.4870103092783509
GMB,2018,pulses and nuts,153.68,1.0598620689655174
GMB,2018,vegetables and fruits,593.34,1.4093586698337293
GNB,2018,cereals and tubers,124.35,1.1304545454545454
GNB,2018,miscellaneous food,29.524,0.6560888888888889
GNB,2018,oil and fats,93.57,1.8714
GTM,2018,cereals and tubers,3135.02,26.795042735042735
GTM,2018,"meat, fish and eggs",1031.65,27.88243243243243
